Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,49,Travel_Frequently,636,R & D,10,Master,Life Sciences,1,291,High,Female,35,High,SeniorLevelL3,Research Director,Low,Single,18665,25594,9,Yes,11,Excellent,Very High,80,NoStockOption,22,4,Better,3,2,1,2
No,36,Travel_Rarely,506,R & D,3,Bachelor,Technical Degree,1,292,High,Male,30,High,MidLevel,Research Scientist,Medium,Single,4485,26285,4,No,12,Excellent,Very High,80,NoStockOption,10,2,Better,8,0,7,7
No,31,Travel_Frequently,444,Sales,5,Bachelor,Marketing,1,293,Very High,Female,84,High,JuniorLevel,Sales Representative,Medium,Divorced,2789,3909,1,No,11,Excellent,High,80,<100ESOPShares,2,5,Good,2,2,2,2
Yes,26,Travel_Rarely,950,Sales,4,Master,Marketing,1,294,Very High,Male,48,Medium,MidLevel,Sales Executive,Very High,Single,5828,8450,1,Yes,12,Excellent,Medium,80,NoStockOption,8,0,Better,8,7,7,4
No,37,Travel_Frequently,889,R & D,9,Bachelor,Medical,1,295,Medium,Male,53,High,JuniorLevel,Research Scientist,Very High,Married,2326,11411,1,Yes,12,Excellent,High,80,>500ESOPShares,4,3,Good,4,2,1,2
No,42,Travel_Frequently,555,Sales,26,Bachelor,Marketing,1,296,High,Female,77,High,SeniorLevelL2,Sales Executive,Medium,Married,13525,14864,5,No,14,Excellent,Very High,80,<100ESOPShares,23,2,Best,20,4,4,8
Yes,18,Travel_Rarely,230,R & D,3,Bachelor,Life Sciences,1,297,High,Male,54,High,JuniorLevel,Laboratory Technician,High,Single,1420,25233,1,No,13,Excellent,High,80,NoStockOption,0,2,Better,0,0,0,0
No,35,Travel_Rarely,1232,Sales,16,Bachelor,Marketing,1,298,High,Male,96,High,SeniorLevelL1,Sales Executive,Medium,Married,8020,5100,0,No,15,Excellent,High,80,100-500ESOPShares,12,3,Good,11,9,6,9
No,36,Travel_Frequently,566,R & D,18,Master,Life Sciences,1,299,High,Male,81,Very High,JuniorLevel,Laboratory Technician,Very High,Married,3688,7122,4,No,18,Excellent,Very High,80,100-500ESOPShares,4,2,Better,1,0,0,0
No,51,Travel_Rarely,1302,R & D,2,Bachelor,Medical,1,300,Very High,Male,84,Low,MidLevel,Manufacturing Director,Medium,Divorced,5482,16321,5,No,18,Excellent,Very High,80,<100ESOPShares,13,3,Better,4,1,1,2
No,41,Travel_Rarely,334,Sales,2,Master,Life Sciences,1,301,Very High,Male,88,High,SeniorLevelL2,Manager,Medium,Single,16015,15896,1,No,19,Excellent,Medium,80,NoStockOption,22,2,Better,22,10,0,4
No,18,Travel_Rarely,812,Sales,10,Bachelor,Medical,1,302,Very High,Female,69,Medium,JuniorLevel,Sales Representative,High,Single,1200,9724,1,No,12,Excellent,Low,80,NoStockOption,0,2,Better,0,0,0,0
No,28,Travel_Rarely,1476,R & D,16,College,Medical,1,303,Medium,Male,68,Very High,MidLevel,Healthcare Representative,Low,Single,5661,4824,0,No,19,Excellent,High,80,NoStockOption,9,2,Better,8,3,0,7
No,31,Travel_Rarely,218,Sales,7,Bachelor,Technical Degree,1,304,Medium,Male,100,Very High,MidLevel,Sales Executive,Very High,Married,6929,12241,4,No,11,Excellent,Medium,80,<100ESOPShares,10,3,Good,8,7,7,7
No,39,Travel_Rarely,1132,R & D,1,Bachelor,Medical,1,305,High,Male,48,Very High,SeniorLevelL1,Healthcare Representative,Very High,Divorced,9613,10942,0,No,17,Excellent,Low,80,>500ESOPShares,19,5,Good,18,10,3,7
No,36,Non-Travel,1105,R & D,24,Master,Life Sciences,1,306,Medium,Female,47,High,MidLevel,Laboratory Technician,Medium,Married,5674,6927,7,No,15,Excellent,High,80,<100ESOPShares,11,3,Better,9,8,0,8
No,32,Travel_Rarely,906,Sales,7,Bachelor,Life Sciences,1,307,Very High,Male,91,Medium,MidLevel,Sales Executive,High,Married,5484,16985,1,No,14,Excellent,High,80,<100ESOPShares,13,3,Good,13,8,4,8
No,38,Travel_Rarely,849,R & D,25,College,Life Sciences,1,308,Low,Female,81,Medium,SeniorLevelL1,Research Director,Medium,Married,12061,26707,3,No,17,Excellent,High,80,<100ESOPShares,19,2,Better,10,8,0,1
No,58,Non-Travel,390,R & D,1,Master,Life Sciences,1,309,Very High,Male,32,Low,MidLevel,Healthcare Representative,High,Divorced,5660,17056,2,Yes,13,Excellent,Very High,80,<100ESOPShares,12,2,Better,5,3,1,2
No,31,Travel_Rarely,691,R & D,5,Master,Technical Degree,1,310,High,Male,86,High,JuniorLevel,Research Scientist,Very High,Married,4821,10077,0,Yes,12,Excellent,High,80,<100ESOPShares,6,4,Better,5,2,0,3
No,31,Travel_Rarely,106,Human Resources,2,Bachelor,Human Resources,1,311,Low,Male,62,Medium,MidLevel,Human Resources,Low,Married,6410,17822,3,No,12,Excellent,Very High,80,NoStockOption,9,1,Better,2,2,1,0
No,45,Travel_Frequently,1249,R & D,7,Bachelor,Life Sciences,1,312,Low,Male,97,High,SeniorLevelL1,Laboratory Technician,Low,Divorced,5210,20308,1,No,18,Excellent,Low,80,<100ESOPShares,24,2,Better,24,9,9,11
No,31,Travel_Rarely,192,R & D,2,Master,Life Sciences,1,313,High,Male,32,High,JuniorLevel,Research Scientist,Very High,Divorced,2695,7747,0,Yes,18,Excellent,Medium,80,<100ESOPShares,3,2,Bad,2,2,2,2
No,33,Travel_Frequently,553,R & D,5,Master,Life Sciences,1,314,Very High,Female,74,High,SeniorLevelL1,Manager,Medium,Married,11878,23364,6,No,11,Excellent,Medium,80,100-500ESOPShares,12,2,Better,10,6,8,8
No,39,Travel_Rarely,117,R & D,10,Below College,Medical,1,315,High,Male,99,High,SeniorLevelL2,Manager,Low,Married,17068,5355,1,Yes,14,Excellent,Very High,80,NoStockOption,21,3,Better,21,9,11,10
No,43,Travel_Frequently,185,R & D,10,Master,Life Sciences,1,316,High,Female,33,High,JuniorLevel,Laboratory Technician,Very High,Single,2455,10675,0,No,19,Excellent,Low,80,NoStockOption,9,5,Better,8,7,1,7
No,49,Travel_Rarely,1091,R & D,1,College,Technical Degree,1,317,High,Female,90,Medium,SeniorLevelL2,Healthcare Representative,High,Single,13964,17810,7,Yes,12,Excellent,Very High,80,NoStockOption,25,2,Better,7,1,0,7
Yes,52,Travel_Rarely,723,R & D,8,Master,Medical,1,318,High,Male,85,Medium,MidLevel,Research Scientist,Medium,Married,4941,17747,2,No,15,Excellent,Low,80,NoStockOption,11,3,Good,8,2,7,7
No,27,Travel_Rarely,1220,R & D,5,Bachelor,Life Sciences,1,319,High,Female,85,High,JuniorLevel,Research Scientist,Medium,Single,2478,20938,1,Yes,12,Excellent,Medium,80,NoStockOption,4,2,Good,4,3,1,2
No,32,Travel_Rarely,588,Sales,8,College,Technical Degree,1,320,High,Female,65,Medium,MidLevel,Sales Executive,Medium,Married,5228,24624,1,Yes,11,Excellent,Very High,80,NoStockOption,13,2,Better,13,12,11,9
No,27,Travel_Rarely,1377,Sales,2,Bachelor,Life Sciences,1,321,Very High,Male,74,High,MidLevel,Sales Executive,High,Single,4478,5242,1,Yes,11,Excellent,Low,80,NoStockOption,5,3,Better,5,4,0,4
No,31,Travel_Rarely,691,Sales,7,Bachelor,Marketing,1,322,Very High,Male,73,High,MidLevel,Sales Executive,Very High,Divorced,7547,7143,4,No,12,Excellent,Very High,80,>500ESOPShares,13,3,Better,7,7,1,7
No,32,Travel_Rarely,1018,R & D,2,Master,Medical,1,323,Low,Female,74,Very High,MidLevel,Research Scientist,Very High,Single,5055,10557,7,No,16,Excellent,High,80,NoStockOption,10,0,Good,7,7,0,7
Yes,28,Travel_Rarely,1157,R & D,2,Master,Medical,1,324,Low,Male,84,Low,JuniorLevel,Research Scientist,Very High,Married,3464,24737,5,Yes,13,Excellent,Very High,80,NoStockOption,5,4,Good,3,2,2,2
No,30,Travel_Rarely,1275,R & D,28,College,Medical,1,325,Very High,Female,64,High,MidLevel,Research Scientist,Very High,Married,5775,11934,1,No,13,Excellent,Very High,80,100-500ESOPShares,11,2,Better,10,8,1,9
No,31,Travel_Frequently,798,R & D,7,College,Life Sciences,1,326,High,Female,48,Medium,SeniorLevelL1,Manufacturing Director,High,Married,8943,14034,1,No,24,Outstanding,Low,80,<100ESOPShares,10,2,Better,10,9,8,9
No,39,Travel_Frequently,672,R & D,7,College,Medical,1,327,High,Male,54,Medium,SeniorLevelL3,Manager,Very High,Married,19272,21141,1,No,15,Excellent,Low,80,<100ESOPShares,21,2,Better,21,9,13,3
Yes,39,Travel_Rarely,1162,Sales,3,College,Medical,1,328,Very High,Female,41,High,MidLevel,Sales Executive,High,Married,5238,17778,4,Yes,18,Excellent,Low,80,NoStockOption,12,3,Good,1,0,0,0
No,33,Travel_Frequently,508,Sales,10,Bachelor,Marketing,1,329,Medium,Male,46,Medium,MidLevel,Sales Executive,Very High,Single,4682,4317,3,No,14,Excellent,High,80,NoStockOption,9,6,Good,7,7,0,1
No,47,Travel_Rarely,1482,R & D,5,Doctor,Life Sciences,1,330,Very High,Male,42,High,SeniorLevelL3,Research Director,High,Married,18300,16375,4,No,11,Excellent,Medium,80,<100ESOPShares,21,2,Better,3,2,1,1
No,43,Travel_Frequently,559,R & D,10,Master,Life Sciences,1,331,High,Female,82,Medium,MidLevel,Laboratory Technician,High,Divorced,5257,6227,1,No,11,Excellent,Medium,80,<100ESOPShares,9,3,Best,9,7,0,0
No,27,Non-Travel,210,Sales,1,Below College,Marketing,1,332,High,Male,73,High,MidLevel,Sales Executive,Medium,Married,6349,22107,0,Yes,13,Excellent,Very High,80,<100ESOPShares,6,0,Better,5,4,1,4
No,54,Travel_Frequently,928,R & D,20,Master,Life Sciences,1,333,Very High,Female,31,High,MidLevel,Research Scientist,High,Single,4869,16885,3,No,12,Excellent,Very High,80,NoStockOption,20,4,Good,4,3,0,3
No,43,Travel_Rarely,1001,R & D,7,Bachelor,Life Sciences,1,334,High,Female,43,High,SeniorLevelL1,Healthcare Representative,Low,Married,9985,9262,8,No,16,Excellent,Low,80,<100ESOPShares,10,1,Good,1,0,0,0
No,45,Travel_Rarely,549,R & D,8,Master,Other,1,335,Very High,Male,75,High,MidLevel,Research Scientist,Very High,Married,3697,9278,9,No,14,Excellent,Low,80,100-500ESOPShares,12,3,Better,10,9,9,8
No,40,Travel_Rarely,1124,Sales,1,College,Medical,1,336,Medium,Male,57,Low,MidLevel,Sales Executive,Very High,Married,7457,13273,2,Yes,22,Outstanding,High,80,>500ESOPShares,6,2,Good,4,3,0,2
Yes,29,Travel_Rarely,318,R & D,8,Master,Other,1,337,Medium,Male,77,Low,JuniorLevel,Laboratory Technician,Low,Married,2119,4759,1,Yes,11,Excellent,Very High,80,NoStockOption,7,4,Good,7,7,0,7
No,29,Travel_Rarely,738,R & D,9,Doctor,Other,1,338,Medium,Male,30,Medium,JuniorLevel,Laboratory Technician,Very High,Single,3983,7621,0,No,17,Excellent,High,80,NoStockOption,4,2,Better,3,2,2,2
No,30,Travel_Rarely,570,Sales,5,Bachelor,Marketing,1,339,Very High,Female,30,Medium,MidLevel,Sales Executive,High,Divorced,6118,5431,1,No,13,Excellent,High,80,>500ESOPShares,10,2,Better,10,9,1,2
No,27,Travel_Rarely,1130,Sales,8,Master,Marketing,1,340,Medium,Female,56,High,MidLevel,Sales Executive,Medium,Married,6214,3415,1,No,18,Excellent,Low,80,<100ESOPShares,8,3,Better,8,7,0,7
No,37,Travel_Rarely,1192,R & D,5,College,Medical,1,341,Very High,Male,61,High,MidLevel,Manufacturing Director,Very High,Divorced,6347,23177,7,No,16,Excellent,High,80,100-500ESOPShares,8,2,Good,6,2,0,4
No,38,Travel_Rarely,343,R & D,15,College,Life Sciences,1,342,High,Male,92,Medium,SeniorLevelL1,Research Director,Very High,Divorced,11510,15682,0,Yes,14,Excellent,Medium,80,<100ESOPShares,12,3,Better,11,10,2,9
No,31,Travel_Rarely,1232,R & D,7,Master,Medical,1,343,High,Female,39,High,SeniorLevelL1,Manufacturing Director,Very High,Single,7143,25713,1,Yes,14,Excellent,High,80,NoStockOption,11,2,Good,11,9,4,10
No,29,Travel_Rarely,144,Sales,10,Below College,Marketing,1,344,Very High,Female,39,Medium,MidLevel,Sales Executive,Medium,Divorced,8268,11866,1,Yes,14,Excellent,Low,80,100-500ESOPShares,7,2,Better,7,7,1,7
No,35,Travel_Rarely,1296,R & D,5,Master,Technical Degree,1,345,High,Male,62,High,SeniorLevelL1,Manufacturing Director,Medium,Single,8095,18264,0,No,13,Excellent,Very High,80,NoStockOption,17,5,Better,16,6,0,13
No,23,Travel_Rarely,1309,R & D,26,Below College,Life Sciences,1,346,High,Male,83,High,JuniorLevel,Research Scientist,Very High,Divorced,2904,16092,1,No,12,Excellent,High,80,100-500ESOPShares,4,2,Good,4,2,0,2
No,41,Travel_Rarely,483,R & D,6,Bachelor,Medical,1,347,Very High,Male,95,Medium,MidLevel,Manufacturing Director,Medium,Single,6032,10110,6,Yes,15,Excellent,Very High,80,NoStockOption,8,3,Better,5,4,1,2
No,47,Travel_Frequently,1309,Sales,4,Below College,Medical,1,348,Medium,Male,99,High,MidLevel,Sales Representative,High,Single,2976,25751,3,No,19,Excellent,Low,80,NoStockOption,5,3,Better,0,0,0,0
No,42,Travel_Rarely,810,R & D,23,Doctor,Life Sciences,1,349,Low,Female,44,High,SeniorLevelL2,Research Director,Very High,Single,15992,15901,2,No,14,Excellent,Medium,80,NoStockOption,16,2,Better,1,0,0,0
No,29,Non-Travel,746,Sales,2,Bachelor,Life Sciences,1,350,Very High,Male,61,High,MidLevel,Sales Executive,High,Married,4649,16928,1,No,14,Excellent,Low,80,<100ESOPShares,4,3,Good,4,3,0,2
No,42,Travel_Rarely,544,Human Resources,2,Below College,Technical Degree,1,351,High,Male,52,High,JuniorLevel,Human Resources,High,Divorced,2696,24017,0,Yes,11,Excellent,High,80,<100ESOPShares,4,5,Better,3,2,1,0
No,32,Travel_Rarely,1062,R & D,2,Bachelor,Medical,1,352,High,Female,75,High,JuniorLevel,Laboratory Technician,Medium,Married,2370,3956,1,No,13,Excellent,High,80,<100ESOPShares,8,4,Better,8,0,0,7
No,48,Travel_Rarely,530,Sales,29,Below College,Medical,1,353,Low,Female,91,High,SeniorLevelL1,Manager,High,Married,12504,23978,3,No,21,Outstanding,Medium,80,<100ESOPShares,15,3,Bad,0,0,0,0
No,37,Travel_Rarely,1319,R & D,6,Bachelor,Medical,1,354,High,Male,51,Very High,MidLevel,Research Scientist,Low,Divorced,5974,17001,4,Yes,13,Excellent,Low,80,100-500ESOPShares,13,2,Better,7,7,6,7
No,30,Non-Travel,641,Sales,25,College,Technical Degree,1,355,Very High,Female,85,High,MidLevel,Sales Executive,High,Married,4736,6069,7,Yes,12,Excellent,Medium,80,<100ESOPShares,4,2,Best,2,2,2,2
No,26,Travel_Rarely,933,Sales,1,Bachelor,Life Sciences,1,356,High,Male,57,High,MidLevel,Sales Executive,High,Married,5296,20156,1,No,17,Excellent,Medium,80,<100ESOPShares,8,3,Better,8,7,7,7
No,42,Travel_Rarely,1332,R & D,2,Master,Other,1,357,Low,Male,98,Medium,MidLevel,Healthcare Representative,Very High,Single,6781,17078,3,No,23,Outstanding,Medium,80,NoStockOption,14,6,Better,1,0,0,0
Yes,21,Travel_Frequently,756,Sales,1,Below College,Technical Degree,1,358,Low,Female,99,Medium,JuniorLevel,Sales Representative,Medium,Single,2174,9150,1,Yes,11,Excellent,High,80,NoStockOption,3,3,Better,3,2,1,2
No,36,Non-Travel,845,Sales,1,Doctor,Medical,1,359,Very High,Female,45,High,MidLevel,Sales Executive,Very High,Single,6653,15276,4,No,15,Excellent,Medium,80,NoStockOption,7,6,Better,1,0,0,0
No,36,Travel_Frequently,541,Sales,3,Master,Medical,1,360,Low,Male,48,Medium,SeniorLevelL1,Sales Executive,Very High,Married,9699,7246,4,No,11,Excellent,Low,80,<100ESOPShares,16,2,Better,13,9,1,12
No,57,Travel_Rarely,593,R & D,1,Master,Medical,1,361,Very High,Male,88,High,MidLevel,Healthcare Representative,High,Married,6755,2967,2,No,11,Excellent,High,80,NoStockOption,15,2,Better,3,2,1,2
No,40,Travel_Rarely,1171,R & D,10,Master,Life Sciences,1,362,Very High,Female,46,Very High,JuniorLevel,Laboratory Technician,High,Married,2213,22495,3,Yes,13,Excellent,High,80,<100ESOPShares,10,3,Better,7,7,1,7
No,21,Non-Travel,895,Sales,9,College,Medical,1,363,Low,Male,39,High,JuniorLevel,Sales Representative,Very High,Single,2610,2851,1,No,24,Outstanding,High,80,NoStockOption,3,3,Good,3,2,2,2
Yes,33,Travel_Rarely,350,Sales,5,Bachelor,Marketing,1,364,Very High,Female,34,High,JuniorLevel,Sales Representative,High,Single,2851,9150,1,Yes,13,Excellent,Medium,80,NoStockOption,1,2,Better,1,0,0,0
No,37,Travel_Rarely,921,R & D,10,Bachelor,Medical,1,365,High,Female,98,High,JuniorLevel,Laboratory Technician,Low,Married,3452,17663,6,No,20,Outstanding,Medium,80,<100ESOPShares,17,3,Better,5,4,0,3
No,46,Non-Travel,1144,R & D,7,Master,Medical,1,366,High,Female,30,High,MidLevel,Manufacturing Director,High,Married,5258,16044,2,No,14,Excellent,High,80,NoStockOption,7,2,Best,1,0,0,0
Yes,41,Travel_Frequently,143,Sales,4,Bachelor,Marketing,1,367,Low,Male,56,High,MidLevel,Sales Executive,Medium,Single,9355,9558,1,No,18,Excellent,High,80,NoStockOption,8,5,Better,8,7,7,7
No,50,Travel_Rarely,1046,R & D,10,Bachelor,Technical Degree,1,368,Very High,Male,100,Medium,SeniorLevelL1,Healthcare Representative,Very High,Single,10496,2755,6,No,15,Excellent,Very High,80,NoStockOption,20,2,Better,4,3,1,3
Yes,40,Travel_Rarely,575,Sales,22,College,Marketing,1,369,High,Male,68,Medium,MidLevel,Sales Executive,High,Married,6380,6110,2,Yes,12,Excellent,Low,80,100-500ESOPShares,8,6,Better,6,4,1,0
No,31,Travel_Rarely,408,R & D,9,Master,Life Sciences,1,370,High,Male,42,Medium,JuniorLevel,Research Scientist,Medium,Single,2657,7551,0,Yes,16,Excellent,Very High,80,NoStockOption,3,5,Better,2,2,2,2
Yes,21,Travel_Rarely,156,Sales,12,Bachelor,Life Sciences,1,371,High,Female,90,Very High,JuniorLevel,Sales Representative,Medium,Single,2716,25422,1,No,15,Excellent,Very High,80,NoStockOption,1,0,Better,1,0,0,0
No,29,Travel_Rarely,1283,R & D,23,Bachelor,Life Sciences,1,372,Very High,Male,54,High,JuniorLevel,Research Scientist,Very High,Single,2201,18168,9,No,16,Excellent,Very High,80,NoStockOption,6,4,Better,3,2,1,2
No,35,Travel_Rarely,755,R & D,9,Master,Life Sciences,1,373,High,Male,97,Medium,MidLevel,Healthcare Representative,Medium,Single,6540,19394,9,No,19,Excellent,High,80,NoStockOption,10,5,Better,1,1,0,0
No,27,Travel_Rarely,1469,R & D,1,College,Medical,1,374,Very High,Male,82,High,JuniorLevel,Laboratory Technician,Medium,Divorced,3816,17881,1,No,11,Excellent,Medium,80,<100ESOPShares,5,2,Better,5,2,0,4
No,28,Travel_Rarely,304,Sales,9,Master,Life Sciences,1,375,Medium,Male,92,High,MidLevel,Sales Executive,Very High,Single,5253,20750,1,No,16,Excellent,Very High,80,NoStockOption,7,1,Better,7,5,0,7
No,49,Travel_Rarely,1261,R & D,7,Bachelor,Other,1,376,Medium,Male,31,Medium,SeniorLevelL1,Healthcare Representative,High,Single,10965,12066,8,No,24,Outstanding,High,80,NoStockOption,26,2,Better,5,2,0,0
No,51,Travel_Rarely,1178,Sales,14,College,Life Sciences,1,377,High,Female,87,High,MidLevel,Sales Executive,Very High,Married,4936,14862,4,No,11,Excellent,High,80,<100ESOPShares,18,2,Good,7,7,0,7
No,36,Travel_Rarely,329,R & D,2,Bachelor,Life Sciences,1,378,Very High,Female,96,High,JuniorLevel,Research Scientist,High,Married,2543,11868,4,No,13,Excellent,Medium,80,<100ESOPShares,6,3,Better,2,2,2,2
Yes,34,Non-Travel,1362,Sales,19,Bachelor,Marketing,1,379,Low,Male,67,Very High,MidLevel,Sales Executive,Very High,Single,5304,4652,8,Yes,13,Excellent,Medium,80,NoStockOption,9,3,Good,5,2,0,4
No,55,Travel_Rarely,1311,R & D,2,Bachelor,Life Sciences,1,380,High,Female,97,High,SeniorLevelL2,Manager,Very High,Single,16659,23258,2,Yes,13,Excellent,High,80,NoStockOption,30,2,Better,5,4,1,2
No,24,Travel_Rarely,1371,Sales,10,Master,Marketing,1,381,Very High,Female,77,High,MidLevel,Sales Executive,High,Divorced,4260,5915,1,Yes,12,Excellent,Very High,80,<100ESOPShares,5,2,Best,5,2,0,3
No,30,Travel_Rarely,202,Sales,2,Below College,Technical Degree,1,382,High,Male,72,High,JuniorLevel,Sales Representative,Medium,Married,2476,17434,1,No,18,Excellent,Low,80,<100ESOPShares,1,3,Better,1,0,0,0
Yes,26,Travel_Frequently,575,R & D,3,Below College,Technical Degree,1,383,High,Male,73,High,JuniorLevel,Research Scientist,Low,Single,3102,6582,0,No,22,Outstanding,High,80,NoStockOption,7,2,Better,6,4,0,4
No,22,Travel_Rarely,253,R & D,11,Bachelor,Medical,1,384,Low,Female,43,High,JuniorLevel,Research Scientist,Medium,Married,2244,24440,1,No,13,Excellent,Very High,80,<100ESOPShares,2,1,Better,2,1,1,2
No,36,Travel_Rarely,164,Sales,2,College,Medical,1,385,Medium,Male,61,Medium,SeniorLevelL1,Sales Executive,High,Married,7596,3809,1,No,13,Excellent,Medium,80,100-500ESOPShares,10,2,Better,10,9,9,0
Yes,30,Travel_Frequently,464,R & D,4,Bachelor,Technical Degree,1,386,High,Male,40,High,JuniorLevel,Research Scientist,Very High,Single,2285,3427,9,Yes,23,Outstanding,High,80,NoStockOption,3,4,Better,1,0,0,0
No,37,Travel_Rarely,1107,R & D,14,Bachelor,Life Sciences,1,387,Very High,Female,95,High,JuniorLevel,Laboratory Technician,Low,Divorced,3034,26914,1,No,12,Excellent,High,80,<100ESOPShares,18,2,Good,18,7,12,17
No,40,Travel_Rarely,759,Sales,2,College,Marketing,1,388,Very High,Female,46,High,MidLevel,Sales Executive,Medium,Divorced,5715,22553,7,No,12,Excellent,High,80,100-500ESOPShares,8,5,Better,5,4,1,3
No,42,Travel_Rarely,201,R & D,1,Master,Life Sciences,1,389,Medium,Female,95,High,JuniorLevel,Laboratory Technician,Low,Divorced,2576,20490,3,No,16,Excellent,Medium,80,<100ESOPShares,8,5,Better,5,2,1,2
No,37,Travel_Rarely,1305,R & D,10,Master,Life Sciences,1,390,High,Male,49,High,MidLevel,Manufacturing Director,Medium,Single,4197,21123,2,Yes,12,Excellent,Very High,80,NoStockOption,18,2,Good,1,0,0,1
No,43,Travel_Rarely,982,R & D,12,Bachelor,Life Sciences,1,391,Low,Male,59,Medium,SeniorLevelL2,Research Director,Medium,Divorced,14336,4345,1,No,11,Excellent,High,80,<100ESOPShares,25,3,Better,25,10,3,9
No,40,Travel_Rarely,555,R & D,2,Bachelor,Medical,1,392,Medium,Female,78,Medium,MidLevel,Laboratory Technician,High,Married,3448,13436,6,No,22,Outstanding,Medium,80,<100ESOPShares,20,3,Better,1,0,0,0
No,54,Travel_Rarely,821,R & D,5,College,Medical,1,393,Low,Male,86,High,SeniorLevelL3,Research Director,Low,Married,19406,8509,4,No,11,Excellent,High,80,<100ESOPShares,24,4,Good,4,2,1,2
No,34,Non-Travel,1381,Sales,4,Master,Marketing,1,394,High,Female,72,High,MidLevel,Sales Executive,High,Married,6538,12740,9,No,15,Excellent,Low,80,<100ESOPShares,6,3,Better,3,2,1,2
No,31,Travel_Rarely,480,R & D,7,College,Medical,1,395,Medium,Female,31,High,MidLevel,Manufacturing Director,Low,Married,4306,4156,1,No,12,Excellent,Medium,80,<100ESOPShares,13,5,Bad,13,10,3,12
No,43,Travel_Frequently,313,R & D,21,Bachelor,Medical,1,396,Very High,Male,61,High,JuniorLevel,Laboratory Technician,Very High,Married,2258,15238,7,No,20,Outstanding,Low,80,<100ESOPShares,8,1,Better,3,2,1,2
No,43,Travel_Rarely,1473,R & D,8,Master,Other,1,397,High,Female,74,High,MidLevel,Healthcare Representative,High,Divorced,4522,2227,4,Yes,14,Excellent,Very High,80,NoStockOption,8,3,Better,5,2,0,2
No,25,Travel_Rarely,891,Sales,4,College,Life Sciences,1,398,Medium,Female,99,Medium,MidLevel,Sales Executive,Very High,Single,4487,12090,1,Yes,11,Excellent,Medium,80,NoStockOption,5,3,Better,5,4,1,3
No,37,Non-Travel,1063,R & D,25,Doctor,Medical,1,399,Medium,Female,72,High,MidLevel,Research Scientist,High,Married,4449,23866,3,Yes,15,Excellent,Low,80,100-500ESOPShares,15,2,Better,13,11,10,7
No,31,Travel_Rarely,329,R & D,1,College,Life Sciences,1,400,Very High,Male,98,Medium,JuniorLevel,Laboratory Technician,Low,Married,2218,16193,1,No,12,Excellent,High,80,<100ESOPShares,4,3,Better,4,2,3,2
No,39,Travel_Frequently,1218,R & D,1,Below College,Life Sciences,1,401,Medium,Male,52,High,SeniorLevelL3,Manager,High,Divorced,19197,8213,1,Yes,14,Excellent,High,80,<100ESOPShares,21,3,Better,21,8,1,6
No,56,Travel_Frequently,906,Sales,6,Bachelor,Life Sciences,1,402,High,Female,86,Very High,SeniorLevelL2,Sales Executive,Low,Married,13212,18256,9,No,11,Excellent,Very High,80,>500ESOPShares,36,0,Good,7,7,7,7
No,30,Travel_Rarely,1082,Sales,12,Bachelor,Technical Degree,1,403,Medium,Female,83,High,MidLevel,Sales Executive,High,Single,6577,19558,0,No,11,Excellent,Medium,80,NoStockOption,6,6,Better,5,4,4,4
No,41,Travel_Rarely,645,Sales,1,Bachelor,Marketing,1,404,Medium,Male,49,Very High,SeniorLevelL1,Sales Executive,Low,Married,8392,19566,1,No,16,Excellent,High,80,<100ESOPShares,10,2,Better,10,7,0,7
No,28,Travel_Rarely,1300,R & D,17,College,Medical,1,405,High,Male,79,High,MidLevel,Laboratory Technician,Low,Divorced,4558,13535,1,No,12,Excellent,Very High,80,<100ESOPShares,10,2,Better,10,0,1,8
Yes,25,Travel_Rarely,688,R & D,3,Bachelor,Medical,1,406,Low,Male,91,High,JuniorLevel,Laboratory Technician,Low,Married,4031,9396,5,No,13,Excellent,High,80,<100ESOPShares,6,5,Better,2,2,0,2
No,52,Travel_Rarely,319,R & D,3,Bachelor,Medical,1,407,Very High,Male,39,Medium,SeniorLevelL1,Manufacturing Director,High,Married,7969,19609,2,Yes,14,Excellent,High,80,NoStockOption,28,4,Better,5,4,0,4
No,45,Travel_Rarely,192,R & D,10,College,Life Sciences,1,408,Low,Male,69,High,JuniorLevel,Research Scientist,Very High,Married,2654,9655,3,No,21,Outstanding,Very High,80,100-500ESOPShares,8,3,Good,2,2,0,2
No,52,Travel_Rarely,1490,R & D,4,College,Life Sciences,1,409,Very High,Female,30,High,SeniorLevelL2,Manager,Very High,Married,16555,10310,2,No,13,Excellent,Very High,80,NoStockOption,31,2,Bad,5,2,1,4
No,42,Travel_Frequently,532,R & D,29,College,Life Sciences,1,410,Low,Female,92,High,MidLevel,Research Scientist,High,Divorced,4556,12932,2,No,11,Excellent,Medium,80,<100ESOPShares,19,3,Better,5,4,0,2
